,X,Y,GDD_2P67,inside_pol,Target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
35,652370.0,5900211.184538921,10.01,0.0,0,10,9,8,9,9,9,10,12,15,18,20,20,18,15,12,10,9,9,10,9,7,4,1,0,1,3,6,8,10,9,8,7,8,9,10,11,10,9,8,7,7,8,9,9,9,6,4,1,-1,-1,-1,11,12,14,16,16,13,9,6,6,7,9,11,14,16,19,22,25,26,26,24,21,18,15,12,10,8,6,5,4,4,4,5,6,7,7,7,6,6,6,7,8,11,13,14,13,13,12,12,12
36,648420.0,5900236.1845389195,11.53,0.0,0,-1,11,12,14,16,16,13,9,6,6,7,9,11,14,16,19,22,25,26,26,24,21,18,15,12,10,8,6,5,4,4,4,5,6,7,7,7,6,6,6,7,8,11,13,14,13,13,12,12,12,12,12,12,10,7,4,1,1,2,6,10,13,15,15,15,14,14,14,15,15,15,14,13,12,12,12,13,14,14,14,13,13,13,13,11,9,8,8,9,10,11,11,11,11,12,14,16,16,16,15
37,650791.0,5900236.68453892,11.04,0.0,0,12,12,12,10,7,4,1,1,2,6,10,13,15,15,15,14,14,14,15,15,15,14,13,12,12,12,13,14,14,14,13,13,13,13,11,9,8,8,9,10,11,11,11,11,12,14,16,16,16,15,15,16,17,17,16,13,10,7,6,6,7,10,12,13,13,13,13,14,14,14,14,14,14,14,11,6,1,-3,-4,-3,-1,1,3,5,7,9,11,12,13,14,13,13,12,11,12,13,15,16,17,18
38,653291.0,5900236.68453892,9.98,0.0,0,15,16,17,17,16,13,10,7,6,6,7,10,12,13,13,13,13,14,14,14,14,14,14,14,11,6,1,-3,-4,-3,-1,1,3,5,7,9,11,12,13,14,13,13,12,11,12,13,15,16,17,18,18,18,17,16,14,13,12,11,10,10,9,9,10,13,17,20,21,21,18,15,13,11,10,10,10,9,9,8,6,5,4,5,6,7,8,7,4,2,0,-1,-2,-1,1,4,7,8,9,9,8,6
39,655791.0,5900236.68453892,8.67,0.0,0,18,18,17,16,14,13,12,11,10,10,9,9,10,13,17,20,21,21,18,15,13,11,10,10,10,9,9,8,6,5,4,5,6,7,8,7,4,2,0,-1,-2,-1,1,4,7,8,9,9,8,6,4,1,0,2,6,11,13,13,11,9,9,9,9,9,9,10,12,14,17,17,16,14,11,8,8,8,9,9,7,4,1,-1,0,2,4,6,8,8,8,8,8,9,9,8,7,6,5,5,6,7
40,653002.0,5900257.184538921,9.37,0.0,0,4,1,0,2,6,11,13,13,11,9,9,9,9,9,9,10,12,14,17,17,16,14,11,8,8,8,9,9,7,4,1,-1,0,2,4,6,8,8,8,8,8,9,9,8,7,6,5,5,6,7,8,9,9,7,4,2,0,-1,0,10,12,15,18,18,15,11,7,6,7,10,12,14,16,19,22,25,27,26,24,21,18,15,12,9,7,5,4,4,5,7,8,10,11,10,9,7,6,6,8,10
41,649052.0,5900282.1845389195,11.05,0.0,0,8,9,9,7,4,2,0,-1,0,10,12,15,18,18,15,11,7,6,7,10,12,14,16,19,22,25,27,26,24,21,18,15,12,9,7,5,4,4,5,7,8,10,11,10,9,7,6,6,8,10,12,14,14,13,11,11,11,13,14,15,14,12,9,6,2,1,2,5,9,13,16,17,17,17,17,17,18,18,18,16,13,11,10,9,9,9,9,9,10,11,12,11,10,7,6,6,7,9,10,11
42,650391.0,5900286.68453892,11.06,0.0,0,12,14,14,13,11,11,11,13,14,15,14,12,9,6,2,1,2,5,9,13,16,17,17,17,17,17,18,18,18,16,13,11,10,9,9,9,9,9,10,11,12,11,10,7,6,6,7,9,10,11,11,11,13,15,17,17,16,15,14,15,17,18,17,15,12,9,7,8,9,12,14,15,15,15,15,15,14,13,12,12,13,12,10,5,0,-3,-4,-2,1,3,5,5,6,7,10,12,14,15,15,13
43,652891.0,5900286.68453892,11.12,0.0,0,11,11,13,15,17,17,16,15,14,15,17,18,17,15,12,9,7,8,9,12,14,15,15,15,15,15,14,13,12,12,13,12,10,5,0,-3,-4,-2,1,3,5,5,6,7,10,12,14,15,15,13,11,11,12,13,15,16,17,17,18,19,19,19,17,15,14,13,12,11,10,9,10,13,18,21,23,21,18,15,11,9,9,9,10,11,10,9,6,5,4,5,6,8,8,7,5,3,2,1,1,1
44,655391.0,5900286.68453892,9.23,0.0,0,11,11,12,13,15,16,17,17,18,19,19,19,17,15,14,13,12,11,10,9,10,13,18,21,23,21,18,15,11,9,9,9,10,11,10,9,6,5,4,5,6,8,8,7,5,3,2,1,1,1,2,4,7,9,10,10,9,7,4,0,-1,1,6,10,13,13,11,10,10,10,10,9,8,8,9,11,13,15,14,12,10,7,7,7,8,9,7,4,1,-1,-1,0,2,3,5,6,7,7,7,7
